Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
08/14/2020,Bishop Blanchet High School,2/7/2020,3162,Name; Full Date of Birth; Other
08/14/2020,Boston University,2/7/2020,7067,Name; Full Date of Birth
08/14/2020,Confluence Health Foundation,2/7/2020,1132,Name; Full Date of Birth
08/14/2020,Denver Dumb Friends League,2/7/2020,655,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information; Biometric Data; Username and Password/Security Question Answers
08/14/2020,EMILY's List,2/7/2020,9325,Name; Financial & Banking Information; Full Date of Birth; Other
08/14/2020,"Filters Fast, LLC",07/15/2019,6584,Name; Financial & Banking Information; Other
08/14/2020,Boston University,2/7/2020,7067,Name; Full Date of Birth
08/14/2020,Confluence Health Foundation,2/7/2020,1132,Name; Full Date of Birth
08/14/2020,Denver Dumb Friends League,2/7/2020,655,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information; Biometric Data; Username and Password/Security Question Answers
08/14/2020,EMILY's List,2/7/2020,9325,Name; Financial & Banking Information; Full Date of Birth; Other
08/13/2020,"Hearing, Speech & Deaf Center",2/7/2020,8441,Name; Full Date of Birth
8/12/2020,Mt. Baker Planned Parenthood,2/7/2020,2367,Name; Full Date of Birth; Other
8/12/2020,Northeastern University,2/7/2020,2602,Name; Full Date of Birth; Other
8/12/2020,The Food Project,2/7/2020,6,Name; Full Date of Birth; Other
8/12/2020,The University of Florida,2/7/2020,5075,Name; Full Date of Birth; Medical Information; Other
8/11/2020,Planned Parenthood of Tennessee and North Mississippi,2/7/2020,12,Name; Full Date of Birth; Other
8/11/2020,The Evergreen State College Foundation,2/7/2020,40549,Name; Full Date of Birth; Student ID Number; Other
8/11/2020,The Evergreen State College,2/7/2020,40549,Name; Full Date of Birth; Student ID Number; Other
8/10/2020,Heritage University,2/7/2020,7803,Name; Full Date of Birth
8/10/2020,Wisconsin Evangelical Lutheran Synod,2/7/2020,867,Name; Social Security Number; Full Date of Birth; Other
8/10/2020,"Dynasplint Systems, Inc.",05/16/2020,1364,Name; Full Date of Birth; Medical Information; Other
8/9/2020,Planned Parenthood of the Rocky Mountains,2/7/2020,526,Name; Full Date of Birth; Other
8/7/2020,Pacific Northwest University of Health Sciences,2/7/2020,1122,Name; Full Date of Birth; Student ID Number
8/5/2020,Cancer Research Institute,2/7/2020,1312,Name; Full Date of Birth; Other
8/4/2020,"Scholarship America, Inc.",,2620,Name; Full Date of Birth; Student ID Number
8/3/2020,"Americares Foundation, Inc.",2/7/2020,2444,Name; Full Date of Birth; Other
8/3/2020,"Würkforce, Inc.",11/22/2019,527,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Other
07/31/2020,Auburn University,2/7/2020,1294,Name; Full Date of Birth
07/31/2020,George W. Bush Presidential Center,2/7/2020,6797,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
07/28/2020,French American School of Puget Sound,2/7/2020,3172,Name; Full Date of Birth; Other
07/28/2020,"Front Rush, LLC",01/18/2016,1982,Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Student ID Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
07/27/2020,CK-12 Foundation,,5017,Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
07/24/2020,City of Redmond,,2851,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
07/24/2020,Entercom Communications Corp.,09/18/2019,2730,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
07/24/2020,Ply Gem Residential Solutions,07/26/2019,2841,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information
07/21/2020,City Ministries,2/11/2020,533,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Email Address and Password/Security Question Answers
07/16/2020,"Gonzales, Gonzales, & Gonzales Immigration Law Offices",05/28/2020,1098,Name; Social Security Number; Financial & Banking Information; Passport Number; Other
07/14/2020,"Merani Hospitality, Inc.",02/16/2017,Unknown,Name; Financial & Banking Information
7/10/2020,"Fetch Rewards, Inc.",6/6/2020,128598,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
7/10/2020,Morgan Stanley,,401246,Name; Social Security Number; Full Date of Birth; Passport Number; Other
7/9/2020,"Collabera, Inc.",05/24/2020,Unknown,Name; Social Security Number; Full Date of Birth; Passport Number; Other
7/9/2020,Boeing Emlpoyees' Credit Union,4/1/2020,4883,Name; Financial & Banking Information
7/8/2020,"Claire's Stores, Inc.",4/7/2020,1166,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
7/7/2020,Federal Home Loan Mortgage Corporation (Freddie Mac),,596,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
7/6/2020,AARP.org,6/6/2020,1456,Name; Full Date of Birth; Other
06/25/2020,"BlockFi, Inc.",05/14/2020,696,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
06/24/2020,Dr. Sid Siahpush,5/7/2020,1,Name; Medical Information; Other
06/16/2020,Providence Health Plan,5/1/2019,3324,Name; Full Date of Birth; Other
6/10/2020,"Zoosk, Inc.",1/12/2020,115158,Name; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
6/3/2020,Bombas LLC,11/11/2016,2313,Name; Financial & Banking Information; Other
05/29/2020,Swedish Health Services,12/18/2019,12573,Name; Social Security Number; Full Date of Birth; Email Address and Password/Security Question Answers; Other
05/27/2020,"Car Wash Partners, Inc.",10/30/2019,805,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
05/27/2020,"Minted, LLC",5/6/2020,68900,Name; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
05/22/2020,"Mathway, LLC",,Unknown,Email Address and Password/Security Question Answers
05/21/2020,Capital Accounting & Tax,,1277,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
5/11/2020,Magellan Health Inc.,4/6/2020,5119,Name; Social Security Number; Username and Password/Security Question Answers; Other
5/7/2020,"Principal Financial Services, Inc.",11/23/2019,583,Name; Social Security Number; Full Date of Birth
5/7/2020,Atria Wealth Solutions,12/3/2019,574,Name; Social Security Number; Full Date of Birth
04/20/2020,"Kandy Pens, Inc.",3/7/2019,1112,Name; Financial & Banking Information
04/20/2020,"Volusion, LLC",9/7/2019,14111,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
04/17/2020,Ambry Genetics Corporation,01/22/2020,2152,Name; Social Security Number; Medical Information
04/15/2020,"Applications Software Technology, LLC",3/9/2020,Unknown,Other
4/1/2020,Northshore Utility District,2/12/2020,483,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
03/16/2020,"Avalon Health Care Management, Inc.",,1861,Name; Social Security Number; Medical Information
3/11/2020,Washington State Patrol,,16,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Other
3/10/2020,Wichita State University,12/3/2019,2649,Name; Social Security Number; Full Date of Birth; Email Address and Password/Security Question Answers
3/10/2020,"Woods & Woods, LLC",,480,Name; Social Security Number; Full Date of Birth; Medical Information; Other
3/6/2020,Torrance Memorial Medical Center,06/20/2019,1,Name; Medical Information
3/2/2020,Carnival Corporation & PLC,4/11/2019,11346,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Medical Information; Other
02/27/2020,Railworks Corporation,,1286,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Other
02/25/2020,AFTRA Retirement Fund,10/24/2019,8803,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
02/14/2020,Aveanna Healthcare,7/9/2019,2444,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
02/14/2020,Smile Surfers,08/19/2019,532,Name; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
01/24/2020,"Oostra Rouw & Associates, Inc. (ORA, Inc.)",12/26/2019,2376,Name; Social Security Number; Other
01/20/2020,"The UPS Store, Inc.",09/29/2019,963,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
01/17/2020,"City of Sioux City, Iowa",08/26/2019,Unknown,Name; Financial & Banking Information; Other
01/15/2020,"Hanna Andersson, LLC",09/16/2019,8816,Name; Financial & Banking Information; Other
12/31/2019,Landry's Inc.,01/18/2019,Unknown,Name; Financial & Banking Information
12/31/2019,Evolucion Innovations Inc. (evo.com),11/8/2019,4899,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
12/19/2019,Vimly Benefits Solution,08/16/2019,91807,Name; Social Security Number; Full Date of Birth; Other
12/13/2019,"Jambav, Inc.",,55092,Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
11/29/2019,Choice Hotels International Inc.,6/1/2015,1684,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
11/27/2019,Washington State Employees Credit Union,2/1/2017,2355,Other
11/26/2019,"The UPS Store, Inc.",10/11/2019,506,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
11/20/2019,ARINC Incorporated (Collins Aerospace),10/17/2019,6,Name; Social Security Number; Other
11/20/2019,Cadence Aerospace,10/24/2019,1392,Other
11/15/2019,City of Lacey,08/27/2019,6209,Name; Financial & Banking Information
11/14/2019,"Green Roads of Florida, LLC",7/9/2019,540,Name; Financial & Banking Information
11/14/2019,Macy's Inc.,10/7/2019,3810,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
11/13/2019,"Solara Medical Supplies, LLC",4/2/2019,138,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Health Insurance Policy or ID Number
11/8/2019,First Aid Beauty Limited,04/15/2019,663,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
10/16/2019,"Neutraceutical Wellness, Inc",,518,Name; Financial & Banking Information; Other
10/15/2019,"Eye Buy Direct, Inc.",9/1/2018,17031,Name; Financial & Banking Information; Medical Information; Email Address and Password/Security Question Answers; Other
10/10/2019,Calibre CPA Group,3/11/2019,983,Name; Social Security Number; Financial & Banking Information
10/3/2019,Toyota Financial Services,9/4/2019,2352,Name; Other
09/26/2019,DoorDash Inc,5/4/2019,2243,Name; Driver's License or Washington ID Card Number; Email Address and Password/Security Question Answers; Other
09/24/2019,"Majoris Health Systems, Inc.",,516,Name; Social Security Number; Full Date of Birth; Other
09/13/2019,Amateur Athletic Union,10/1/2018,12200,Name; Financial & Banking Information; Other
9/12/2019,Peoples Injury Network Northwest,04/22/2019,12502,Name; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information; Other
9/9/2019,The Union Labor Life Insurance Company,4/1/2019,615,Name; Social Security Number; Full Date of Birth; Other
9/4/2019,"CafePress, Inc.",02/19/2019,5863,Name; Social Security Number; Email Address and Password/Security Question Answers; Other
08/26/2019,"Creation Entertainment, Inc.",2/1/2018,2467,Name; Financial & Banking Information
08/16/2019,Regence,07/25/2019,642,Name; Social Security Number
08/14/2019,Grays Harbor Community Hospital,06/15/2019,88000,Name; Social Security Number; Full Date of Birth; Medical Information; Other
07/29/2019,"Trusted Tours & Attractions, LLC",03/24/2019,706,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
07/27/2019,Community Psychiatric Clinic,3/12/2019,6600,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
07/26/2019,Sark Technologies LLC,09/23/2018,762,Name; Financial & Banking Information; Other
07/24/2019,"Laboratory Medicine Consultants, LTD",03/21/2019,684,Name; Full Date of Birth; Medical Information; Other
07/15/2019,Northwood Inc.,5/3/2019,1185,Name; Social Security Number
07/15/2019,"Clinical Pathology Laboratories, Inc.",03/21/2019,1155,Name; Full Date of Birth; Medical Information; Other
07/13/2019,Laboratory Corporation of America Holdings (LabCorp),8/1/2018,18330,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Other
7/9/2019,Sprint Corporation,,596,Name; Other
7/3/2019,Riggs Wealth Management,06/14/2019,1205,Name; Social Security Number; Financial & Banking Information
7/2/2019,Backcountry Edge,,566,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
06/21/2019,Dominion Dental Services Inc.,08/25/2010,34455,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
6/7/2019,Princess Polly Group Pty Ltd,11/1/2018,2290,Name; Financial & Banking Information; Username and Password/Security Question Answers
6/7/2019,Darwin's Natural Pet Products,09/27/2016,1787,Name; Financial & Banking Information
6/6/2019,Acrisure LLC,,1295,Name; Social Security Number; Driver's License or Washington ID Card Number
6/3/2019,Retrieval Masters Creditors Bureau Inc.,8/1/2018,33480,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Medical Information
6/3/2019,Washington Department of Health,,1336,Name; Social Security Number; Medical Information
05/28/2019,Mediant Communications Inc.,4/1/2019,6306,Name; Social Security Number; Financial & Banking Information; Other
05/24/2019,"Drury Hotels Company, LLC",12/29/2017,Unknown,Name; Financial & Banking Information; Other
05/24/2019,National Wildlife Federation,1/3/2019,1564,Name; Financial & Banking Information; Other
05/22/2019,Georgia Institute of Technology,12/14/2018,8577,Name; Social Security Number; Full Date of Birth; Other
05/21/2019,Service Linen Supply,05/14/2019,1210,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information
5/10/2019,Oklahoma Department of Securities,,2793,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information
5/9/2019,Sage Advisors LLC,2/12/2019,1026,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
04/26/2019,"Lancaster Archery Supply, Inc.",7/4/2018,1151,Name; Financial & Banking Information
04/26/2019,Port of Seattle,,3357,Name; Social Security Number; Driver's License or Washington ID Card Number
04/23/2019,Seattle University,03/26/2019,2064,Name; Social Security Number
04/22/2019,Area Agency on Aging and Disabilities of Southwest Washington,01/15/2019,7000,Name; Other
04/15/2019,Housing Authority of Thurston County,03/13/2019,25357,Name; Social Security Number
4/5/2019,Archbright,,1568,Name; Social Security Number; Driver's License or Washington ID Card Number; Medical Information; Other
4/5/2019,AeroGrow International Inc.,10/29/2018,667,Name; Financial & Banking Information
4/3/2019,Jobscience Inc.,5/8/2018,1787,Name; Social Security Number; Driver's License or Washington ID Card Number; Username and Password/Security Question Answers; Other
4/2/2019,New Bit Ventures Ltd. (Coinmama.com),12/1/2018,1221,Name; Driver's License or Washington ID Card Number; Full Date of Birth; Other
4/2/2019,"Key West Hotels, LLC",2/7/2018,Unknown,Name; Other
03/29/2019,Earl Enterprises,05/23/2018,Unknown,Name; Other
03/28/2019,"HealthMarkets Insurance Agency, Inc.",2/6/2019,39,Name; Social Security Number; Other
03/15/2019,flexPath Strategies LLC,12/7/2018,1398,Name; Social Security Number
3/12/2019,ABM Industries Incorporated,1/8/2018,846,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Medical Information
3/7/2019,Columbia Surgical Specialists,1/9/2019,131260,Name; Social Security Number; Driver's License or Washington ID Card Number; Medical Information
02/22/2019,Seattle Housing Authority,1/7/2019,720,Name; Financial & Banking Information
02/20/2019,University of Washington Medical Center,12/4/2018,894272,Name; Medical Information
02/14/2019,North 40 Outfitters,2/2/2018,2632,Name; Financial & Banking Information; Username and Password/Security Question Answers
2/12/2019,Stanwich Mortgage Loan Trust,2/1/2018,702,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
01/30/2019,Image-I-Nation Technologies Inc.,11/1/2018,3695,Name; Social Security Number; Full Date of Birth
01/18/2019,"Pharmaca Integrative Pharmacy, LLC",07/19/2018,Unknown,Name; Financial & Banking Information
1/11/2019,Caroline Kline Galland Home,12/23/2018,9,Name; Social Security Number; Full Date of Birth; Medical Information; Other
1/9/2019,A&A Global Imports Inc.,08/15/2017,2783,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
1/3/2019,Chaplaincy Health Care,11/20/2018,1086,Name; Full Date of Birth; Medical Information; Other
12/31/2018,Aimbridge Hospitality Holdings LLC,6/7/2018,647,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
12/26/2018,Bel USA LLC,8/5/2018,1553,Name; Financial & Banking Information
12/20/2018,JAND Inc. d/b/a Warby Parker,09/25/2018,951,Name; Other
12/7/2018,Titan Manufacturing and Distributing Inc.,,1838,Name; Financial & Banking Information; Other
12/5/2018,San Diego Hardware,2/5/2018,604,Name; Financial & Banking Information; Other
11/30/2018,Ontario Inc.,08/15/2014,540,Name; Financial & Banking Information
11/30/2018,"Marriott International, Inc.",,Unknown,Name; Full Date of Birth; Passport Number; Other
11/27/2018,Burgerville LLC,8/1/2017,Unknown,Name; Financial & Banking Information
11/27/2018,Washington State Patrol,10/14/2018,1171,Name; Social Security Number; Driver's License or Washington ID Card Number
11/27/2018,Atrium Health,09/22/2018,172,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/21/2018,British Airways PLC,08/21/2018,1588,Name; Financial & Banking Information; Other
11/19/2018,Francesca's Services Corporation,12/28/2017,1148,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
11/16/2018,Washington State Employees Credit Union,10/1/2018,2560,Name; Financial & Banking Information
11/16/2018,LPL Financial LLC,11/1/2018,8127,Name; Social Security Number; Other
11/15/2018,Newegg Inc.,08/13/2018,5931,Name; Financial & Banking Information; Other
11/15/2018,HealthEquity Inc.,9/4/2018,27175,Name; Social Security Number; Other
11/13/2018,"Pharmacy Times Office of Continuing Professional Education, LLC",5/11/2018,797,Name; Social Security Number
11/13/2018,Stein Mart Inc.,12/28/2017,680,Name; Financial & Banking Information; Other
11/12/2018,"Title Nine Sports, Inc.",12/28/2017,4837,Name; Financial & Banking Information; Other
11/12/2018,Collier Heggerness & Bronk CPA's PS Inc.,,2194,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
11/9/2018,Thesy LLC,12/6/2017,5907,Name; Financial & Banking Information
11/7/2018,"Unified Trust Company, N.A.",12/6/2017,1196,Name; Social Security Number; Financial & Banking Information; Other
11/6/2018,"Southwest Washington Regional Surgery Center, LLC",05/27/2018,1690,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
11/5/2018,Nordstrom Inc.,10/9/2018,13442,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
10/25/2018,GS1 US Inc.,7/7/2017,2384,Name; Financial & Banking Information; Other
10/25/2018,Bankers Life,05/30/2018,226,Name; Full Date of Birth; Other
10/25/2018,Caroline Kline Galland Home,1/1/2015,203,Name; Social Security Number; Other
10/22/2018,Challenger Sports Inc.,08/26/2018,516,Name; Financial & Banking Information; Other
10/18/2018,Renaissance Philanthropic Solutions Group,6/5/2018,609,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
10/11/2018,SHEIN,6/1/2018,Unknown,Email Address and Password/Security Question Answers
10/5/2018,Rebound Orthopedics & Neurosurgery,05/22/2018,1607,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information
10/2/2018,Zenith American Solutions,08/13/2018,30,Name; Social Security Number; Full Date of Birth; Other
9/12/2018,Skagit Bancorp Inc.,,519,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Username and Password/Security Question Answers; Other
9/11/2018,Peaceful Valley Farm Supply,2/9/2018,1224,Name; Other
08/29/2018,LILLEbaby,6/1/2016,1557,Name; Financial & Banking Information
08/22/2018,Cheddar's Scratch Kitchen,11/3/2017,Unknown,Name; Financial & Banking Information
8/3/2018,Colorado Bankers Life Insurance Company,03/28/2018,956,Name; Social Security Number; Financial & Banking Information
